sn,sector,company_name,ticker,company_id,year,quarter,period,month,no._of_months,turnoverrevenue_gross_earnings_gross_premium_income_n(k),profit_before_tax_n(k),profit_after_tax_n(k),total_comprehensive_income_n(k),property_plant_and__equipment_n(k),total_asset_n(k),total_liabilities_n(k),issued_share_capital_n(k)
627,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2017,1,2017:Q1,MAR,3,1676825.301,404892.942,303900.725,303900.725,951526.706,8260920.993,3554219.559,3000000
628,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2017,3,2017:Q3,SEP,9,4365120.169,360218.261,207860.561,207860.561,929384.8,8147820.088,3657158.818,3000000
629,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2017,4,2017:Q4,DEC,12,5542732.729,641052.022,406205.406,406205.406,976591.367,9490174.394,4801168.279,3000000
630,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2018,1,2018:Q1,MAR,3,1947844.957,285802.196,209645.574,209645.574,989596.309,10092712.735,4694061.046,3500000
631,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2018,2,2018:Q2,JUN,6,3775396.207,212151.292,148266.294,148266.294,993501.089,12207905.202,7010632.793,3500000
632,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2018,3,2018:Q3,SEP,9,5200705.13,422342.995,355916.498,355916.498,985592.209,10587896.981,5182974.368,3500000
633,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2018,4,2018:Q4,DEC,12,6512335.014,534437.706,406710.742,406710.742,1006001.531,10821606.128,4645625.104,4065000
634,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2019,1,2019:Q1,MAR,3,2364473.197,276846.931,198915.99,198915.99,991789.854,11672738.422,5297841.406,4065000
635,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2019,2,2019:Q2,JUN,6,4443979.275,426591.776,332371.978,332371.978,979685.897,11381508.096,5035755.094,4065000
636,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2019,3,2019:Q3,SEP,9,6687092.767,659901.985,519610.532,519610.532,968331.44,11159193.501,4626201.944,4065000
637,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2019,4,2019:Q4,DEC,12,8310310.847,751104.979,636934.435,636934.435,994509.151,11047053.18,4396737.721,4065000
638,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2020,1,2020:Q1,MAR,3,3113712.555,346270.397,209509.569,209509.569,977326.237,12267976.822,5444771.64,4065000
639,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2020,2,2020:Q2,JUN,6,5061679.594,444429.61,295396.703,295396.703,997324.421,12170367.649,526127.5334,4065000
640,FINANCIAL SERVICES: INSURANCE,Consolidated Hallmark Insurance Plc,HMARKINS,37,2020,3,2020:Q3,SEP,9,7420178.4,672125.602,456265.214,456265.214,1044198.793,14069128.15,5969247.657,5081250
641,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2015,1,2015:Q1,MAR,3,4822124,1083191,812393,812393,720784,30836872,14624594,5186372
642,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2015,2,2015:Q2,JUN,6,10816683,1394739,1033919,1376789,747055,31717618,15564449,5186372
643,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2015,3,2015:Q3,SEP,9,14714955,2072644,1537617,1499447,733052,30723613,15571197,5186372
644,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2015,4,2015:Q4,DEC,12,20679772,2915593,2142788,1901813,1127498,29668730,14131539,5186372
645,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2016,1,2016:Q1,MAR,3,5511604,722807,499232,440840,1082002,32801450,16329099,5186372
646,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2016,2,2016:Q2,JUN,6,9567114,2807913,-701978,2117872,1127498,29668730,14131539,5186372
647,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2016,3,2016:Q3,SEP,9,18119845,5031978,3751307,3743981,1176487,39398210,20698991,5186372
648,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2016,4,2016:Q4,DEC,12,22406048,4651687,3118635,5435960,1311956,40251676,20523254,5186372
649,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2017,1,2017:Q1,MAR,3,6744640,705693,515656,369219,1318097,42020601,21947542,5186372
650,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2017,2,2017:Q2,JUN,6,11085915,2485820,1729365,1556062,1292352,40196141,19909606,5186372
651,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2017,3,2017:Q3,SEP,9,15175940,3187693,2390770,2146876,1306715,41198719,20503106,5186372
652,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2017,4,2017:Q4,DEC,12,26411922,3570285,2470291,2140991,2488615,43134490,22357448,5186372
653,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2018,1,2018:Q1,MAR,3,7715512,928835,712477,741094,2465921,51554836,29755774,5186372
654,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2018,2,2018:Q2,JUN,6,17475967,3239201,2430354,2432277,2914824,53009571,27242253,5186372
655,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2018,3,2018:Q3,SEP,9,27008578,2900347,2117167,2117167,3083691,51079522,27018614,5186372
656,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2018,4,2018:Q4,DEC,12,34185991,4359355,3322113,6879724,3395476,57637329,28689113,5186372
657,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2019,1,2019:Q1,MAR,3,5435494,99453,74589,74127,3544075,56624574,27276891,5186372
658,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2019,2,2019:Q2,JUN,6,19738538,1171951,864311,933466,4184719,59866155,30161872,5186372
659,FINANCIAL SERVICES: INSURANCE,Continental Reinsurance Plc,CONTINSURE,38,2019,3,2019:Q3,SEP,9,30075320,1452675,1002464,969105,4055272,58779346,28987551,5186372
660,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2015,1,2015:Q1,MAR,3,2107413,130455,117367,117367,2070529,20988144,8895859,7364754
661,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2016,1,2016:Q1,MAR,3,2072825,-142363,-140556,-140556,2235927,21436369,11131945,7364754
662,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2016,4,2016:Q4,DEC,12,8456458,-1264660,-1735223,-1768329,2235928,21436369,11131946,7364754
663,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2017,1,2017:Q1,MAR,3,2216557,-278151,-305967,-305967,2232013,22090239,12063966,7364754
664,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2017,2,2017:Q2,JUN,6,4537026,-866583,-953241,-953241,2204393,22190673,12752831,7364754
665,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2017,3,2017:Q3,SEP,9,6564771,-1921721,-2113893,-2113893,2142073,21618372,13427841,7364754
666,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2017,4,2017:Q4,DEC,12,9180270,-3426517,-3362081,-2907085,2017994,24089257,16758123,7364754
667,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2018,1,2018:Q1,MAR,3,2534034,463121,416809,454104,1820440,23800216,16195493,7364754
668,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2018,2,2018:Q2,JUN,6,5447455,415192,456712,456712,2064849,27806467,20120450,7364754
669,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2018,3,2018:Q3,SEP,9,8124621,789387,658818,658818,2014814,26844746,18854794,7364754
670,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2018,4,2018:Q4,DEC,12,11353294,3284554,3017572,3080924,1838849,28712246,18300188,7364754
671,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2019,1,2019:Q1,MAR,3,4793662,-39674,-43642,-63649,2075736,32893950,22329586,7364754
672,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2019,2,2019:Q2,JUN,6,6062519,557510,501759,2424573,2068390,32126434,19321900,7364754
673,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2019,3,2019:Q3,SEP,9,9192499,3131496,2818347,4231079,2047725,35521215,20878078,7364754
674,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2019,4,2019:Q4,DEC,12,12199953,3324722,2991698,3744409,2141007,35100820,20646772,7364754
675,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2020,1,2020:Q1,MAR,3,4575086,521393,475117,233225,2182593,36131360,21012525,7364754
676,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2020,2,2020:Q2,JUN,6,6766060,1100844,1000547,1708145,2172263,39179967,22686214,7364754
677,FINANCIAL SERVICES: INSURANCE,Cornerstone Insurance Plc,CORNERST,39,2020,3,2020:Q3,SEP,9,11093472,1006547,924709,1596672,2086135,39997101,23511475,7364754
678,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2015,4,2015:Q4,DEC,12,1486006.501,184386.415,65617.262,60317.632,1521115.006,4396118.725,1274943.814,1776000
679,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2016,1,2016:Q1,MAR,3,346870.241,8175.334,6540.267,5559.462,1397688.175,3965005.641,806486.755,1776000
680,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2016,4,2016:Q4,DEC,12,1322494.119,38887.736,36810.033,37343.974,1397688.175,3965005.642,806486.755,1776000
681,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2017,1,2017:Q1,MAR,3,331216.02,30823.712,20321.214,20017.179,1367509.174,4034466.922,855930.857,1776000
682,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2017,3,2017:Q3,SEP,9,1005651.358,62211.762,43239.379,43239.379,1307273.248,4079209.948,877451.683,1776000
683,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2017,4,2017:Q4,DEC,12,1120715.23,52013.491,36953.213,36953.213,1244020.795,4083297.447,904999.282,1776000
684,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2018,1,2018:Q1,MAR,3,308706.72,30825.308,23950.198,23950.198,1268956.058,4112953.75,882902.358,1776000
685,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2018,2,2018:Q2,JUN,6,619080.871,81188.163,66860.066,66860.066,1251694.95,4239751.937,966790.676,1776000
686,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2018,3,2018:Q3,SEP,3,267395.181,41631.866,98008.366,98008.366,2017006.594,4292919.713,988810.152,1776000
687,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2018,4,2018:Q4,DEC,12,1048785.54,179797.066,78440.096,78440.096,1172681.171,4190870.747,934132.486,1776000
688,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2019,1,2019:Q1,MAR,3,270774.81519,39567.414,30062.967,0,1165026.782,4237464.877,950663.649,1776000
689,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2019,2,2019:Q2,JUN,6,557916,94661,73566,,1164850,4015942,685638,1776000
690,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2019,3,2019:Q3,SEP,9,1021431.505,158790.931,125027.445,,1301458.391,4246593.12,864827.414,1776000
691,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2019,4,2019:Q4,DEC,12,1419078.935,202737.42,157610.521,157610.521,1290409.334,4171794.499,757445.717,1776000
692,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2020,1,2020:Q1,MAR,3,331137.625,8308.273,4443.823,347.589,1294785.796,4091232.354,664531.816,1776000
693,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2020,2,2020:Q2,JUN,6,585688.037,1181111.035,3748.095,8711.434,1271253.969,4049081.385,642044.693,1776000
694,ICT,Courteville Bussiness Solutions Plc,COURTVILLE,40,2020,3,2020:Q3,SEP,3,1058242.125,55850.452,40919.358,40255.711,1248409.365,4255347.909,788044.131,1776000
695,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2015,1,2015:Q1,MAR,3,6490608,1867738,1488440,1445513,2431506,50587976,26108468,2940933
696,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2015,2,2015:Q2,JUN,6,13533575,3335261,2618155,2717411,2378492,54103485,29057902,2940933
697,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2015,3,2015:Q3,SEP,9,20366507,4971351,3774455,3825371,2361888,55836741,29889266,2940933
698,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2015,4,2015:Q4,DEC,12,29793012,5731738,4200454,4058734,2761272,56982067,30910608,2940933
699,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2016,1,2016:Q1,MAR,3,8209431,1847630,1538748,1471711,2784273,58490159,30946990,2940933
700,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2016,2,2016:Q2,JUN,6,17126022,3630953,2887149,2933900,2758312,62273082,34412587,2940933
701,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2016,3,2016:Q3,SEP,9,27114373,5198074,4061864,4108957,3056026,69816192,41185705,2940933
702,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2016,4,2016:Q4,DEC,12,38554556,7389822,5330976,5403078,3039638,68094657,37999988,2940933
703,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2017,1,2017:Q1,MAR,3,7608008,1899489,1582924,1571394,3017774,67621471,36167704,2940933
704,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2017,2,2017:Q2,JUN,6,19797989,4725696,3805866,4143734,3006939,75616568,42649200,2940933
705,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2017,3,2017:Q3,SEP,9,31862231,6001579,4674721,5009063,3056923,80077227,46923925,2940933
706,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2017,4,2017:Q4,DEC,12,43052675,8932671,7316665,8022967,3258879,80901017,44600140,2940933
707,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2018,1,2018:Q1,MAR,3,11470542,2183399,1856241,1982423,3916862,98121969,56622883,2940933
708,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2018,2,2018:Q2,JUN,6,23739044,4652805,3703498,3987572,3435314,85844947,47590191,2940933
709,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2018,3,2018:Q3,SEP,9,12534199,2166664,1443768,1710416,3871121,92374607,52971931,2940933
710,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2018,4,2018:Q4,DEC,12,50212406,9500710,7113191,7590265,3916862,98121969,56622883,2940933
711,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2019,1,2019:Q1,MAR,3,14886186,2479030,1927776,1693355,4292718,103253294,60060853,2940933
712,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2019,2,2019:Q2,JUN,6,30384289,5318192,4087638,3997312,4226280,106769034,63331289,2940933
713,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2019,3,2019:Q3,SEP,9,46210573,7004231,5461450,5677451,4219505,112884865,68477827,2940933
714,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2020,1,2020:Q1,MAR,3,17874411,2278874,1856588,1863291,4233335,138099365,91496764,2940933
715,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2020,2,2020:Q2,JUN,6,35013386,3307556,2677624,2736100,4144348,143979378,96699330,2940933
716,FINANCIAL SERVICES: INSURANCE,Custodian & Allied Plc,CUSTODYINS,41,2020,3,2020:Q3,SEP,9,57528672,7319584,6035585,6106785,4211033,149937323,101841856,2940933
717,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2015,1,2015:Q1,JUL,3,665555,66951,43518,43518,868517,2157747,1306035,440331
718,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2015,2,2015:Q2,OCT,6,1382908,132714,86264,86264,844904,1944928,1026877,440331
719,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2015,3,2015:Q3,JAN,9,1721098,121689,79098,79098,897236,1816014,1100305,440331
720,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2015,4,2015:Q4,APR,12,2358412,202107,149209,149209,892451,1968813,1225102,440331
721,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2016,1,2016:Q1,JUL,3,712597,82108,53370,53370,802359,1969577,1004823,440331
722,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2016,2,2016:Q2,OCT,6,1624089,225032,146271,146271,780401,2196870,1090736,440331
723,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2016,4,2016:Q4,APR,12,2835863,278114,190551,190551,819253,1891720,1021503,440331
724,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2017,1,2017:Q1,JUL,3,1296351,160180,104117,104117,809078,2336100,1161950,440331
725,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2017,2,2017:Q2,OCT,6,2723740,373616,242850,242850,794665,2447276,1063798,440331
726,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2017,3,2017:Q3,JAN,9,2765041,409452,266144,266144,738459,2179057,1013132,440331
727,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2017,4,2017:Q4,APR,12,3675712,370143,257497,257497,769450,2329792,1315822,440331
728,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2018,1,2018:Q1,Jul,3,1322607,171737,111629,111629,829907,2802610,1320737,440331
729,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2018,2,2018:Q2,OCT,6,2783647,344704,224058,224058,784800,2717010,1192157,440331
730,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2018,3,2018:Q3,JAN,9,3842874,510868,332064,332064,840740,2451807,1079717,440331
731,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2018,4,2018:Q4,APR,12,5057374,661563,440295,440295,869103,2836262,1536970,440331
732,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2019,1,2019:Q1,JUL,3,1274801,145254,94415,94415,821974,2921359,1162812,880661
733,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2019,3,2019:Q3,JAN,9,1311661,122198,79429,79429,805980,3184720,1452037,880661
734,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2019,3,2019:Q3,JAN,9,4131577,462873,300867,300867,886345,2537412,944394,880661
735,INDUSTRIAL GOODS,Cutix Plc,CUTIX,42,2019,4,2019:Q4,APR,12,5434107,679332,477070,477070,874219,2861339,1248248,880661
736,ICT,Computer Warehouse Group Plc ,CWG,43,2015,1,2015:Q1,MAR,3,3870100,-230300,-230300,,469000,14939000,10194000,1262413.18
737,ICT,Computer Warehouse Group Plc ,CWG,43,2015,2,2015:Q2,JUN,6,8851270.621,-350594.134,-350594.134,,466055.39,13619411.547,9035252.851,1262413.18
738,ICT,Computer Warehouse Group Plc ,CWG,43,2015,3,2015:Q3,SEP,9,12322611.063,-516333.096,-516333.096,,478069.506,12180302.052,7832208.104,1262413.18
739,ICT,Computer Warehouse Group Plc ,CWG,43,2015,4,2015:Q4,DEC,12,15613282,-1746997,-1795846,-1850405,479180,10525955,7463114,1262413
740,ICT,Computer Warehouse Group Plc ,CWG,43,2016,1,2016:Q1,MAR,3,2719078,14008,11748,,452870,12968940,9919772,1262413
741,ICT,Computer Warehouse Group Plc ,CWG,43,2016,2,2016:Q2,JUN,6,5203089,53865,37705,,653606,13042861,9994203,1262413
742,ICT,Computer Warehouse Group Plc ,CWG,43,2016,3,2016:Q3,SEP,9,7469007,3971,3971,,380675,15256291,12214901,1262413
743,ICT,Computer Warehouse Group Plc ,CWG,43,2016,4,2016:Q4,DEC,12,10165971,142004,127675,123546,423225,14768280,11581893,1262413
744,ICT,Computer Warehouse Group Plc ,CWG,43,2017,1,2017:Q1,MAR,3,2272294,27066,22736,,400523,12958913,9773327,1262413
745,ICT,Computer Warehouse Group Plc ,CWG,43,2017,2,2017:Q2,JUN,6,4703039,49470,41555,,428550,13112608,9908211,1262413
746,ICT,CWG Plc,CWG,43,2017,3,2017:Q3,SEP,9,6493680,36618,28703,,431751,15081562,11947528,1262413
747,ICT,CWG Plc,CWG,43,2017,4,2017:Q4,DEC,12,8827460,-1510669,-1576430,-1612870,463280,12493180,10919643,1262413
748,ICT,CWG Plc,CWG,43,2018,1,2018:Q1,MAR,3,1237083,5711,3997,,417907,12000418,10457068,1262413
749,ICT,CWG Plc,CWG,43,2018,2,2018:Q2,JUN,6,2571755,-25340,-10535,,402933,9491985,7931190,1262413
750,ICT,CWG Plc,CWG,43,2018,3,2018:Q3,SEP,9,5146807,397757,397757,,388425,11103605,9170955,1262413
751,ICT,CWG Plc,CWG,43,2018,4,2018:Q4,DEC,12,7755122,-1114754,-1146238,-1161461,407045,10316349,10201706,1262413
752,ICT,CWG Plc,CWG,43,2019,1,2019:Q1,MAR,3,1913715,69722,48805,,379842,10993107,10771356,1262413
753,ICT,CWG Plc,CWG,43,2019,2,2019:Q2,JUN,6,3986127,149341,,,542191,11261402,10951411,1262412
754,ICT,CWG Plc,CWG,43,2019,3,2019:Q3,SEP,9,6599159,22601,,,580625,9125443,8929736,1262413
755,ICT,CWG Plc,CWG,43,2019,4,2019:Q4,DEC,12,9345227,260735,260735,260735,566642,9963425,10115309,1262413
756,ICT,CWG Plc,CWG,43,2020,1,2020:Q1,MAR,3,2822379,94746,,,488404,10780223,10414786,1262413
757,ICT,CWG Plc,CWG,43,2020,2,2020:Q2,JUN,6,5434010,339358,,,464503,10118768,9534683,1262413
758,SERVICES,DAAR Communications Plc,DAARCOMM,44,2015,1,2015:Q1,MAR,3,2073047,426700,298690,,16579632,20637217,8068625,4000000
759,SERVICES,DAAR Communications Plc,DAARCOMM,44,2015,2,2015:Q2,JUN,6,3811043,656463,459524,,13399220,17613624,6735028,4000000
760,SERVICES,DAAR Communications Plc,DAARCOMM,44,2015,3,2015:Q3,SEP,9,5687419,962237,673566,,13399220,17613624,6735028,4000000
761,SERVICES,DAAR Communications Plc,DAARCOMM,44,2015,4,2015:Q4,DEC,12,7089393,-1483161,-1510776,-1510776,13564960,17044361,5546913,4000000
762,SERVICES,DAAR Communications Plc,DAARCOMM,44,2016,1,2016:Q1,MAR,3,794029,-687909,-691168,,12757715,16704693,6517265,4000000
763,SERVICES,DAAR Communications Plc,DAARCOMM,44,2016,2,2016:Q2,JUN,6,2127035,-984437,-1025805,,12832637,16543188,6690397,4000000
764,SERVICES,DAAR Communications Plc,DAARCOMM,44,2016,3,2016:Q3,SEP,9,2765785,-1496996,-1659442,,12297890,16406779,7187625,4000000
765,SERVICES,DAAR Communications Plc,DAARCOMM,44,2016,4,2016:Q4,DEC,12,3732527,-3001230,-2139589,-2139589,10962801,18112117,6830279,4000000
766,SERVICES,DAAR Communications Plc,DAARCOMM,44,2017,1,2017:Q1,MAR,3,904610,-681850,-691975,,10289393,17797967,7208104,4000000
767,SERVICES,DAAR Communications Plc,DAARCOMM,44,2017,2,2017:Q2,JUN,6,1727028,-1262879,-1286784,,9587090,17350076,7355022,4000000
768,SERVICES,DAAR Communications Plc,DAARCOMM,44,2017,3,2017:Q3,SEP,9,2547948,-2011146,-2021247,,8956717,16625854,7365263,4000000
769,SERVICES,DAAR Communications Plc,DAARCOMM,44,2017,4,2017:Q4,DEC,12,3712390,-718951,-481586,-481586,9986952,20652186,9851935,4000000
770,SERVICES,DAAR Communications Plc,DAARCOMM,44,2018,1,2018:Q1,MAR,3,913363,-17774,-199634,,9703818,18114223,7543702,4000000
771,SERVICES,DAAR Communications Plc,DAARCOMM,44,2018,2,2018:Q2,JUN,6,1990351,-392688,-412592,,9717750,18773512,8287700,4000000
772,SERVICES,DAAR Communications Plc,DAARCOMM,44,2018,4,2018:Q4,DEC,12,4637217,-2007127,-2169580,-2169580,9562443,19808408,12441814,4000000
773,SERVICES,DAAR Communications Plc,DAARCOMM,44,2019,1,2019:Q1,MAR,3,1156553,-13344,2431,,9549646,17891328,10501468,4000000
774,SERVICES,DAAR Communications Plc,DAARCOMM,44,2019,2,2019:Q2,JUN,6,1822475,-623283,-623283,,9310379,16612247,9712852,4000000
775,SERVICES,DAAR Communications Plc,DAARCOMM,44,2019,3,2019:Q3,SEP,9,3067668,-629598,-629598,,9262099,16819258,9785438,4000000
776,SERVICES,DAAR Communications Plc,DAARCOMM,44,2019,4,2019:Q4,DEC,12,4412227,-349922,-369312,-369312,9092614,17523058,17523058,4000000
777,SERVICES,DAAR Communications Plc,DAARCOMM,44,2020,1,2020:Q1,MAR,3,689882,-454346,-454346,,9041178,16096847,,4000000
778,SERVICES,DAAR Communications Plc,DAARCOMM,44,2020,2,2020:Q2,JUN,6,1467735,-524988,-524988,,8928758,16232606,,4000000
779,SERVICES,DAAR Communications Plc,DAARCOMM,44,2020,3,2020:Q3,SEP,9,2324006,674820,674820,,8970593,16391446,11116455,4000000
780,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2015,1,2015:Q1,MAR,3,114738000,70168000,68620000,70385000,789767871,1063722829,401452553,8520254
781,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2015,2,2015:Q2,JUN,6,242215000,128726000,121808000,123069000,834702000,1133799000,521087000,8520000
782,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2015,3,2015:Q3,SEP,9,365450000,166914000,157993000,137265000,881201000,1097008000,470100000,8520000
783,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2015,4,2015:Q4,DEC,12,491725000,188294000,181323000,155078000,917212000,1110943000,466223000,8520000
784,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2016,1,2016:Q1,MAR,3,140521000,54539000,52779000,53634000,921695000,1161903000,463549000,8520000
785,INDUSTRIAL GOODS,Dangote Cement Plc,DANGCEM,45,2016,2,2016:Q2,JUN,6,292191000,124890000,103420000,171840000,1065212000,1371254000,691018000,8520000
